COMID,x,y,row,col,zone_id,lin_area_km2,lin_width_m,lin_depth_m,lin_Q2_m3s,d4_area_at_point_km2,nearest_d4_area_km2,nearest_d4_distance_m,zone_boundary_distance_m,in_grid,area_ratio_lin_to_nearest_d4,basic_valid,passes_distance,passes_area_ratio,passes_boundary,calibration_valid,fit_area_km2
45084315,326560.67195349955,2099375.076376246,-1,-1,0,231.01300818664646,105.22644,1.7178988456726074,167.24179499178214,,,,,False,,False,False,False,False,False,
45084325,331015.9429787598,2099661.1899648276,-1,-1,0,103.90614509172384,77.0022,0.7948350310325623,81.7704526121452,,,,,False,,False,False,False,False,False,
45085905,403259.2017540108,2059719.7284161625,1299,2587,0,2339.317714895794,145.74677,2.3703887462615967,356.91401289121904,0.0,5.039100170135498,7614.32861328125,4231.70166015625,True,464.2332233758495,False,False,False,True,False,5.039100170135498
45085908,393998.7309005093,2069591.6885891068,970,2279,0,1132.2687569231152,79.6831,1.9870073795318604,194.1663549665724,0.0,974.8377075195312,4201.0712890625,2366.199462890625,True,1.1614946243761604,False,True,True,True,False,974.8377075195312
45085910,386470.2074869406,2078559.9633890186,671,2028,0,652.4752007993831,88.643776,1.1218045949935913,123.03028669987387,0.0,5.13539981842041,11746.90625,8662.107421875,True,127.05441131554912,False,False,False,True,False,5.13539981842041
45085912,380239.5316002566,2086065.9704708203,421,1820,0,509.1219773892838,88.91589,1.2039575576782227,107.31328518850194,0.0,5.210100173950195,13545.45703125,10239.1015625,True,97.71827035779958,False,False,True,True,False,5.210100173950195
45085914,376877.02741523914,2092385.9965867896,210,1708,0,412.8078784067186,79.6706,1.1543630361557007,102.91091894530686,0.0,5.210100173950195,17703.685546875,14895.1435546875,True,79.23223443393715,False,False,True,True,False,5.210100173950195
45085916,370806.44129521685,2098110.0838786843,19,1506,0,310.8371133807832,92.34788,0.8360599279403687,105.70686387313073,0.0,5.544000148773193,20020.791015625,17206.509765625,True,56.067298888793665,False,False,True,True,False,5.544000148773193
45086032,409721.6313819156,2048853.985704576,-1,-1,0,2634.8475708525807,150.46958999999998,2.9459097385406494,302.9207068335278,,,,,False,,False,False,False,False,False,
45086033,405010.5391006331,2048411.0545633975,1676,2646,38,2490.979151419387,194.25954,1.366716980934143,314.0209513432516,0.0027000000700354576,2498.134521484375,90.0,30.0,True,0.9971357146689057,True,True,True,True,True,2498.134521484375
45086034,401766.98740250274,2049182.3808463714,1650,2538,33,2433.651866835089,118.20658,2.1509079933166504,310.7061413691127,0.006300000008195639,8.12339973449707,210.0,2357.05322265625,True,299.5853886766486,True,True,False,True,False,8.12339973449707
45086035,398376.0692261184,2047223.9857710996,1716,2425,48,2361.818708698394,161.88565,1.8958942890167236,306.05504766249095,0.017100000753998756,2365.505126953125,150.0,990.4544677734375,True,0.998441593631429,True,True,True,True,True,2365.505126953125
45086036,395839.7298524713,2046435.0909918295,1742,2340,44,2310.21739863703,155.40303,2.310145854949951,305.9249926893853,0.03689999878406525,2302.09912109375,161.55494689941406,904.4888305664062,True,1.0035264674178854,True,True,True,True,True,2302.09912109375
45086038,391754.83504969615,2050123.2717945804,1619,2204,32,2237.093341751565,138.8536,2.3599801063537598,309.8709092207335,1.2167999744415283,2202.805908203125,60.0,1621.1107177734375,True,1.0155653448271387,True,True,True,True,True,2202.805908203125
45086040,386254.31420695054,2050086.4128400462,1620,2020,29,2100.445790246174,181.54832,1.7038651704788208,320.8743939085502,0.0044999998062849045,2102.594482421875,30.0,1116.4676513671875,True,0.9989780758041247,True,True,True,True,True,2102.594482421875
