metric,value,units
feature_count,64.0,count
manning_n,0.035,
min_slope,1e-05,m/m
max_slope,0.05,m/m
depth_cap_m,20.0,m
slope_clamped_features,3.0,count
depth_cap_hit_features,0.0,count
area_min,25.347846509469466,km2
area_p05,32.40732656664428,km2
area_p50,291.72612845819356,km2
area_mean,594.9419742413073,km2
area_p95,2358.4435596280036,km2
area_max,2634.8475708525807,km2
QMEAN_min,0.019942243051638,m3/s
QMEAN_p05,0.3625610965852793,m3/s
QMEAN_p50,5.779637364200368,m3/s
QMEAN_mean,8.522880834952026,m3/s
QMEAN_p95,24.680688754545802,m3/s
QMEAN_max,31.23868450097082,m3/s
Q2_min,0.633516597785686,m3/s
Q2_p05,6.709002095241291,m3/s
Q2_p50,84.90534870122745,m3/s
Q2_mean,114.32698695662617,m3/s
Q2_p95,313.52372984713077,m3/s
Q2_max,356.91401289121904,m3/s
width_m_min,59.02364300000001,m
width_m_p05,64.246747,m
width_m_p50,106.938485,m
width_m_mean,109.774242546875,m
width_m_p95,189.80606999999995,m
width_m_max,218.49031000000002,m
width_DHG_min,5.730750424613688,m
width_DHG_p05,18.570067412153218,m
width_DHG_p50,66.33244062108568,m
width_DHG_mean,68.92041654584514,m
width_DHG_p95,127.48730144073792,m
width_DHG_max,136.02360981932804,m
Slope_raw_min,0.0,m/m
Slope_raw_p05,1.636431384213211e-05,m/m
Slope_raw_p50,0.001048601174261421,m/m
Slope_raw_mean,0.002128946721185798,m/m
Slope_raw_p95,0.007979895151220258,m/m
Slope_raw_max,0.008560789749026299,m/m
Slope_used_min,9.999999747378752e-06,m/m
Slope_used_p05,1.636431384213211e-05,m/m
Slope_used_p50,0.001048601174261421,m/m
Slope_used_mean,0.0021294154711739566,m/m
Slope_used_p95,0.007979895151220258,m/m
Slope_used_max,0.008560789749026299,m/m
Depth_Q2_m_min,0.02761053293943405,m
Depth_Q2_m_p05,0.11212233789265158,m
Depth_Q2_m_p50,1.1104511618614197,m
Depth_Q2_m_mean,1.1864592302590609,m
Depth_Q2_m_p95,2.368827450275421,m
Depth_Q2_m_max,4.327326774597168,m
H_abg_m_min,0.061969004571437836,m
H_abg_m_p05,0.22887806817889217,m
H_abg_m_p50,2.1629350185394287,m
H_abg_m_mean,2.638698112568818,m
H_abg_m_p95,6.186092448234557,m
H_abg_m_max,8.0,m
